0,1,2,3,4,5,6,7,8,9,10,11,12,13
-1.231986679358698,-0.7639031363377196,0.6184080068823935,0.8416040369123742,-0.5573082336983275,0.48707540583600073,0.6109711260549125,-0.5873532371065651,0.08299488375726677,0.11604785255795338,-0.15187350833675156,0.5799558701099415,-0.05720230649978758,-0.05959319592566741
-0.0852500427328329,-0.18481058769924139,1.015940202862873,0.7049501868618548,-0.4916651907752295,0.7817012796867377,0.2279501981883623,-0.2582647903452579,-0.09198575306146542,-0.19817936285044782,-0.05680787274006363,0.46145865178991546,-0.11133185834314527,-0.09580141684621782
0.6036351830822906,-0.1581511289607396,1.2329308605007776,0.1604635623714197,-0.15895339449499257,1.2553286659771703,-0.13064698893026128,-0.532691273437099,-0.03545987713916014,-0.303079492962199,0.10636053643986729,0.32896605841571724,-0.21553202034377142,-0.03442164621614929
0.10790563691226479,-0.5357194912125752,0.38315663666974487,-0.4674187199937201,-0.2467467542029428,1.014948183666525,-0.060401192580885735,-0.34005585841902425,0.27316305828078336,-0.17117202136041193,0.008092810971677692,0.3304149023037102,-0.052663237814491476,-0.15026307016305895
-0.6337112443040945,-0.650091760403492,0.22928153993436515,-0.5797072491194029,-0.2035421287703193,1.0703229670995267,0.12934493788293022,-0.3863078524928814,0.2018618263630251,-0.20265839876315198,-0.024030413242991714,0.2966098210078196,-0.17936596567585253,-0.06194334321749168
-0.12809709232468722,-0.33044361562435526,1.072463849387535,0.1628368558797757,-0.2971747932697083,0.6934119528702349,0.3017266797075898,-0.30078623896572193,0.33182742913439334,-0.4346941443579637,0.08898129245748981,0.42129541991462655,-0.060622759292975836,0.0724940631929485
-0.3224571888197306,-0.8120898681699803,0.48371830405025495,-0.37781648455037753,-0.30923181824604606,0.4372981805497471,0.2265988252268367,-0.3362921493412726,0.7006184080774575,-0.27190767687371636,0.023130200015064738,0.3823058432559738,0.048658140240171066,0.005159679608468281
-1.6495310121413385,-1.3284746761366912,-0.6680665996994966,-0.9011357161195943,-0.49137360536154495,0.13113350356615222,0.37891952316002736,-0.23567615879729725,0.8102920949492659,-0.020534835324516294,0.09437542512195396,0.19636037035960324,-0.04803357035643391,-0.11320585617583968
-1.1558188777999343,-0.8325385783347476,0.5531964216532063,0.25577266444635816,-0.6039330263074616,-0.15988634168167926,0.5397181187162173,-0.17549240681975536,0.48610484433836065,-0.2462531812755964,-0.039262848488652635,0.26119903678406675,-0.14872199804934744,0.0423667713523227
-1.4723752334004572,-1.085391358884467,0.10834672730776299,-0.28202417847501127,-0.48734320099737083,0.15103974548606214,0.4815811864133252,-0.22399759803671393,0.4370405763427948,-0.0745241880826269,-0.03465435562848117,0.08054178960553404,-0.2751150181392131,0.0475144405826988
